Das kompositorische Werk Emanuel Vogts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
ID,Datum,Titel,Genre/Dokument,Besetzung,"Original, Kopie",Bemerkung
1088,,Psalm 90,Notensatz,gem. Chor,Original,
1089,1965,Warum willst du draußen stehen,Chorsatz,gem. Chor,Original,
1090,,Mein Rezatgrund,Chorsatz,gem. Chor,Original,
1091,,"O hilf, Christe, Gottes Sohn",Notensatz,"Chor, Orgel?",Original,nach Heinricht Schütz
1092,1964,"Psalm 25, 1 - 7",Chorsatz,gem. Chor,Original,Bleistift-Manuskript
1093,1965,"Motette ""Schaff in mir Gott""",Chorsatz,gem. Chor,Original,"Bleistift-Manuskript, für den Evangelischen Sängerbund"
1094,1968,Sinn des Lebens,Notensatz,"einst., Orgel?",Original,Bleistift-Manuskript
1095,1964,Einkehr,Notensatz,"einst., Orgel?",Original,Bleistift-Manuskript
1096,,"In dich habe ich gehoffet…, Flötenstimme",Notensatz,Flöten,Kopie,
1097,1965,Warum willst du draußen stehen,Chorsatz,Männer,Original,
1098,1965,Nun freut euch hier…,Chorsatz,gem. Chor,Original,
1099,1969,Es wollt ein Schneider Hochzeit machen,Chorsatz,gem. Chor,Original,
1100,,"Hosianna, Davids Sohne",Chorsatz,gem. Chor,Original,
1101,,Du Rezatgrund,Notensatz,"Piano, Orgel?",Original,
1102,1965,"Werde österlich, mein Herz",Chorsatz,gem. Chor,Original,
1103,,Wir suchen einen Halt,Notensatz,?,Original,Bleistift-Manuskript
1104,1965,"Vorspiel zu ""Die helle Sonn"" (EKG 339)",Bläsersatz,Bläser,Original,Dem Posaunenchor der Gemeinde Neuendettelsau zur Hundertjahr-Feier am 12. 09.1965
1105,,Wer will da verdammen,Notensatz,"Bläser, Chor, Orgel",Original,Bleistift-Manuskript
1106,,1 - Auf mein Herz,Notensatz,?,Original,Bleistift-Manuskript
1107,,2 - Arioso,Notensatz,"Orgel, Gesang",Original,Bleistift-Manuskript
1108,,3 - Heilig,Notensatz,Chor,Original,Bleistift-Manuskript
1109,,5. Lieblich sind,Notensatz,"Chor, Bläser",Original,Bleistift-Manuskript
1110,,"6. Nach der Predigt, 6 Herr des Himmels",Notensatz,"Trompete, Chor",Original,Bleistift-Manuskript
1111,,7. Rezitativ - Wir werden Herr…,Notensatz,"Singstimme, Orgel",Original,Bleistift-Manuskript
1112,,"4. Arioso - ""Herr, sehen wir im Geist""",Notensatz,"Singstimme, Orgel",Original,Bleistift-Manuskript
1113,,6. Herr des Himmels,Notensatz,"Trompete, Chor",Original,Bleistift-Manuskript
1114,,EKG 227 - Nun lasst uns Gott dem Herrn..,Notensatz,"Piano, Orgel?",Original,Bleistift-Manuskript
1114a,1965,Komm zu uns Herr im Schöpferwort,Notensatz,?,Original,Bleistift-Manuskript
1114b,1976,"Intonation - Wohl dem, die da wandeln",Notensatz,Orgel,Original,Bleistift-Manuskript
1114c,1976,"Intonation - O Welt, ich muss dich lassen",Notensatz,Orgel,Original,Bleistift-Manuskript
1115,,"Intonation für 160 - ""Kommt her, ihr seid…""",Notensatz,Orgel,Original,Bleistift-Manuskript
1116,1973,Ohne Titel,Notensatz,Orgel,Original,Bleistift-Manuskript
1117,1973,Flöten-Intrade,Notensatz,"zwei Sopran, eine Altflöte",Original,Bleistift-Manuskript
1118,,Fragment,Notensatz,Klavier,Original,Bleistift-Manuskript
1119,,Advent - Nun singet und seid froh…,Notensatz,"Gesang, Orgel?",Original,
1120,,"Oh, Heiland, reiß den Himmel auf",Notensatz,Flöten?,Original,
1121,,Es ist ein Ros entsprungen,Notensatz,Flöten?,Original,
1122,1969,Das Leben ist erschienen - Weihnachtsmusik für die Familie,Notensatz,"Singstimme: Mittellage, Mel.-Instr., Tasteninstr. ad.lib.",Original,
1123,1960,Pastorale für drei Flöten,Notensatz,Flöten,Original,
1124,1971,Psalm 77/2,Notensatz,gem. Chor?,Original,Bleistift-Manuskript
1124a,1971,Psalm 77/1-11,Notensatz,gem. Chor?,Original,Bleistift-Manuskript
1125,,"Wir kamen, Christ (schwer lesbar)",Chorsatz,Männer,Original,Bleistift-Manuskript
1126,,A 1,Notensatz,"Cembalo, Gitarre",Original,
1127,1977,Messe für Männerchor - Entwürfe,Chorsatz,Männer,Original,Bleistift-Manuskript
1128,1994,Spruch - Wer verließ der Jungend enge Pfade…,Chorsatz,gem. Chor,Kopie,Für Ruth und Eva zur Weiterverbreitung
1129,1992,"So gehst du nun, mein Jesu, hin",Chorsatz,gem. Chor,Kopie,"Melodie aus ""Schemelli-Gesangbuch"" von Joh. Seb. Bach"
1130,1996,Ich bin die Auferstehung,Chorsatz,Frauen,Kopie,
1131,1975,Phirlephanz für zwei Gitarren,Notensatz,Gitarren,Kopie,"Dem Kind im Kantor gewidmet, Kathrin Vogt - 1. Gitarre, Markus Koch - 2. Gitarre"
1132,1975,Kirchenchor 1975 - Weihnachten,Notensatz,Orgel,Kopie,
1134,,EKG 208 - Ach bleib mit deiner Gnade ,Chorsatz,Männer,Original,Bleistift-Manuskript - Skizze
1134a,,EKG 218 - Sonne… ,Chorsatz,Männer,Original,Bleistift-Manuskript - Skizze
1134b,,EKG 320 - Jerusalem ,Chorsatz,Männer,Original,Bleistift-Manuskript - Skizze
1135,,Intonation - Ich freu mich in dem Herzen,Orgelsatz,Orgel,Original,Bleistift-Manuskript - Skizze
1136,,"Psalm 119, 19 - 17, Skizze",Notensatz,?,Original,Bleistift-Manuskript - Skizze
1137,1995,Jahreslosung 1996,Chorsatz,gem. Chor,Kopie,
1138,1976,Es kommt ein Schiff geladen,Notensatz,Instr. ad.lib.,Original,Bleistift-Manuskript - Skizze
1138a,1976,Steh auf ihr lieben…,Notensatz,Instr. ad.lib.,Original,Bleistift-Manuskript - Skizze
1138b,1976,"Lobet den Herren, ihr Heiden all",Notensatz,Instr. ad.lib.,Original,Bleistift-Manuskript - Skizze
1139,1976,Was Gott tut,Notensatz,Instr. ad.lib.,Original,Bleistift-Manuskript - Skizze
1139a,1976,"Wach auf, dir…",Notensatz,Instr. ad.lib.,Original,Bleistift-Manuskript - Skizze
1139b,1976,EKG 318,Notensatz,Instr. ad.lib.,Original,Bleistift-Manuskript - Skizze
1139c,,Skizze zu: Lieder aus Bethlehem,Skizze,,Original,
1140,1992,Nehmt Abschied Brüder,Notensatz,?,Original,"Skizze, Norge 92"
1141,1992,Für die C-Flöte,Notensatz,Sopranflöte,Original,
1142,1994,Ich möchte mal wer anders sein,Notensatz,?,Original,
1143,1993,3/4-Takt-Tanz,Notensatz,?,Abschrift,
1144,,Verrückter Rhythmus,Notensatz,?,Kopie,
1145,1995,"EKG 19 - O komm, o komm",Notensatz,Orgel,Kopie,für H. G. Meyer
1146,1999,"Freut euch, ihr lieben Christen",Chorsatz,Frauen,Kopie,
1147,1994,Nürnberger Krippenlied,Chorsatz,gem. Chor,Kopie,
1148,1977,Ach du liegst im Stall,Notensatz,?,Kopie,
1149,,"O komm, o komm du Morgenstern",Notensatz,?,Kopie,
1150,1994,Nun kommt der Heiden Heiland,Notensatz,Chor?,Kopie,"Vorreformatorisch, Martin Luther 1524"
1151,,Freund Hein,Notensatz,?,Kopie,
1152,,"Halleluja, Halleluja",Notensatz,gem. Chor,Kopie,Dem wackeren Lochhausener Singkreis und seinem mutigen Leiter Dieter Birmann…
1153,1973,Dem Hans sei Dreher,Notensatz,Piano,Kopie,
1154,,Dem die Hirten…,Notensatz,Piano,Original,
1155,,Es kam ein Engel,Notensatz,Piano,Original,
1156,,Kommet ihr Hirten,Notensatz,Piano,Original,
1157,,Es ist ein Ros entsprungen,Notensatz,Piano,Original,
1158,,Vom Himmel hoch,Notensatz,Piano,Original,
1159,,Nun singet und seid froh,Notensatz,"gem. Chor, Orgel?",Original,
1160,,Kommt nun lasst uns…,Notensatz,Flöten,Original,
1161,,Es ist ein Ros entsprungen,Notensatz,eine Stimme,Original,
1162,,Vom Himmel hoch,Notensatz,eine Stimme,Original,
1163,,"Gelobet seist du, Jesu Christ",Notensatz,eine Stimme,Original,
1164,1972,Präludium in B-Dur,Orgelsatz,Orgel,Druck,
1165,1982,Das alte Jahr geht nun zur Ruh,Chorsatz,gem. Chor,Druck,"Bundes-Verlag, Witten"
1166,,Präludium und Aria in e-moll,Orgelsatz,Orgel,Druck,
1167,1969,Das Leben ist erschienen,Notensatz,Instr. ad.lib. Und Singstimme,Druck,
1169,,Gott liebt diese Welt,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1170,,"Komm, Herr, segne uns",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1171,,Gib uns Frieden jeden Tag,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1172,,So nimm denn meine Hände…,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1173,,"Herr, deine Liebe ist wie Gras",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1174,,"Hilf, Herr meines Lebens",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1175,,"Danket Gott, danket Gott",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1176,,Danke für diesen…,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1177,,"Herr, gib uns Mut",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1178,,Auf und macht das Herzen weit,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1179,,"O Herr, nimm unsere Schuld",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1180,,Lobt Gott ihr Christen…,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1181,,Nun singet und seid froh,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1182,,Lob Gott getrost mit Singen,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1183,,"Lobt Gott, den Herrn",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1184,,"Hört, wen Jesu glücklich preist",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1185,,Vater unser im Himmelreich 241,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1186,,Wie soll ich dich empfangen - Choraleinleitung,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1187,,O Heiland reiß den Himmel auf,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1188,,"Lobet den Herren, o meine Seele",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1189,,"Christus, der ist mein Leben",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1190,,Wir warten dein,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1191,,"Jesus, meine Zuversicht",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1192,,Es ist gewisslich,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1193,,Ermuntert euch,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1194,,"EKG 317 - O Jesu Christ, meins Leben",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1194,,"EKG 293 - Jesu, meine Freude",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1195,,Intonation zu 317 - O Jesu Christ,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1196,,Intonation zu 239 - Jesu meine Freude,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1197,,Choräle zu drei Stimmen - Gelobt sei Gott,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1198,,Fortsetzung von 1197,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1199,,Auf Christi Himmelfahrt,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1200,1966,Terzketten,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1201,1966,Erweitere Versuche,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1202,,Halt im Gedächtnis,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1293,,Ich singe Dir,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1204,,Wir wollen alle fröhlich sein,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1205,,EKG 79 - Gelobt sei Gott,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1206,1984,O du fröhliche - (leichtere Fassung,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1207,1984,EKG 217,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1208,1985,"Herr, dein Liebe",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1209,1985,"Jesu, geh du voran",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1210,1985,O Haupt…,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1211,1985,Ohne Titel,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1212,1985,"Jesus, mein Leben",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1213,,Zwei Stimmen in einer Hand,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1214,,Dreistimmige Übungen für die Hände,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1215,,"Vom Himmel hoch, o Englein kommt",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1216,,EKG 348 - Morgenglanz,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1216a,,EKG 208 - Ach bleib…,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1217,,Ach lieber Herre Jesu Christ,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1218,,Liebster Jesu…,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1219,,Ich bin getauft auf deinen Namen,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1220,,"Jesu, geh voran",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1221,,"Lobe den Herren, den mächtigen…",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1222,,Bis hierher hat mich Gott gebracht,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1223,,"Gelobet seist du, Jesu Christ",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1223a,,Vom Himmel hoch…,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1223b,,Es ist ein Ros entsprungen,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1224,,"Ermuntre dich, mein schwacher Geist",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1224a,,Nun singet und seid froh,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1225,,Alles ist an Gottes Segen,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1225a,,"Lobet den Herren, alle , die ihn ehren",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1226,,Dreistimmige Übungen für die Hände,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1227,,"EKG 50 - O Jesu Christ, wahres Licht",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1228,,EKG 48 ,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1229,,ohne Inhalt,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1230,,ohne Inhalt,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1231,,"Vom Himmel hoch, o Englein kommt",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1232,,Kommt und lasst uns Christus ehren,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1233,,ohne Inhalt,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1234,,ohne Inhalt,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1235,,ohne Inhalt,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1236,,"Lobt Gott, ihr Christen",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1237,,Nun singet und seid froh,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1238,,Lob Gott getrost mit Singen,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1239,,EKG 189 Lobt Gott den Herrn,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1240,,O du fröhliche…,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1241,,Vom Himmel hoch…,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1242,,Macht hoch die Tür…,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1243,,Es kommt ein Schiff geladen,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1244,,Zwischen Jericho und Jerusalem - Pedal-Solo,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1245,1987,"Herr, gib uns Zeit zum Hören",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1246,,EKG 60 - Herzliebster Jesu,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1247,,EKG 66 - Du großer Schmerzensmann,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1248,,EKG 62 - Ein Lämmlein geht,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1249,,EKG - 123 - Wir warten dein (Was Gott tut),Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1250,,EKG 330 - Jesu meine Zuversicht,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1251,,EKG 120 - Es ist gewisslich,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1252,,EKG 122 - Ermuntert euch,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1253,,EKG 205 - Lob Gott getrost mit Singen,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1254,,EKG 189 - Lobt Gott den Herrn,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1255,,"EKG 21 - Lobt Gott, ihr Christen",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1256,,EKG 26 - Nun singet und seid froh,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1257,,EKG 92 - Gen Himmel aufgefahren,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1258,,"EKG 95 - Siegesfürst, Ehrenkönig",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1260,,EKG 48 - Wie schön leuchtet,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1260,,EKG 104 - O heiliger Geist,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1261,,EKG 129 - Tut mir auf die schöne Pforte,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1262,,EKG 131 - Allein Gott in der Höh…,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1263,,"EKG 126 - Herr Jesu Christ, dich zu uns wend…",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1264,,"EKG 127 - Liebster Jesu, wir sind hier",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1265,,EKG 128 - Gott ist gegenwärtig,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1266,,656 - Gott liebt diese Welt,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1267,,"652 - Komm Herr, segne uns",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1268,,721 - Gib uns Frieden jeden Tag,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1269,,685 - Herr gib uns Mut,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1270,,686 - Auf und macht die Herzen weit,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1271,,"669 - O Herr, nimm unsere Schuld",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1272,,EKG 63 - O Haupt voll Blut…,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1272a,,"EKG 64 - O Welt, sieh hier dein Leben",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1273,,EKG 59 - Wir danken dir…,Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
1274,,"EKG 57 - Ehre sei dir, Christe",Orgelsatz,Orgel,Verschieden,"Aus ""Orgel-Ausbildung - Dreistimmigkeit - Choralsätze und Kurz-Intonation"
