Das kompositorische Werk Emanuel Vogts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
ID,Datum,Titel,Genre/Dokument,Besetzung,"Original, Kopie",Bemerkung
368,,315 - Nun lasst uns Gott,Orgelsatz,Orgel,Kopie,
369,1997,"Skizze EG 771 - ""Bewahre…""",Orgel- und Chorsatz,gem. Chor und Orgel,Original,
369,1997,EG 270 Herr unser Herrscher,Orgel- und Chorsatz,gem. Chor und Orgel,Original,
370,1995,In diene Kerk,Orgelsatz,Orgel,Original,
371,1991,"Ihr Hirten, ihr Hirten",Orgelsatz,Orgel,Kopie,
372,1998,Nun werde hell,Chorsatz,gem. Chor,Original,Bleistift
373,1998,Anrufung des Gekreuzigten,Chorsatz,gem. Chor und Gemeinde,Original,
374,1989,Der Tag ist seiner Höhe nah,Chorsatz,gem. Chor,Original,
375,1989,Christ ist erstanden,Chorsatz,gem. Chor,Original,
376,,"Und ich sah einen neuen Himmel, Offb. 21",Chorsatz,gem. Chor,Orignal,
377,,Kanon zum Essen,Liedsatz,ad. lib.,Original,
377a,1990,"Am Neckar, am Neckar",Chorsatz,gem. Chor,Original,
378,1999,Jetzt gang i ans Brünnele,Chorsatz,gem. Chor,Original,
379,2003,4 b - Vaterunser - Doxologie,Liedsatz,ad. lib.,Original,
380,1981,Kyrie,?,?,Original,
381,1979,Spielstück für Orgel,Orgelsatz,Orgel,Kopie,(Mit Gedackten und Flöten 8' und 4')
382,1976,Andante,Orgelsatz/Klaviersatz,"Orgel, Piano",Kopie,
383,1974,Spielstück für Orgel,Orgelsatz,Orgel,Kopie,
384,1974,Tastenspiele 10,Orgelsatz,Orgel,Kopie,
385,1974,Toccatina,Orgelsatz,Orgel,Kopie,
386,,"""Schreit""-Musik f. 3 Violinen und 1 Cello",Notensatz,"Violine, Cello",Original,
387,1982,"O Heiland, reiß den Himmel auf",Chorsatz,gem. Chor,Original,Bleistift
388,1978,Tastenspiele 3,Orgelsatz,Orgel,Kopie,
389,1974,Spielstück für Orgel,Orgelsatz,Orgel,Kopie,
390,1974,Tastenspiele 7,Orgelsatz,Orgel,Original,
391,1974,Spielstück für Orgel,Orgelsatz ,Orgel,Original,
