category,folder,filename,filepath,file_type,file_size_bytes,file_size_mb,work_number
Werke,Werke 1001 - 1020,1003 - Lob sei dir Christe.pdf,files/Werke - außer Psalmen/Werke 1001 - 1020/1003 - Lob sei dir Christe.pdf,pdf,52215,0.05,1003
Werke,Werke 101 bis 120,Scan_20250705.pdf,files/Werke - außer Psalmen/Werke 101 bis 120/Scan_20250705.pdf,pdf,235,0.0,
Werke,Werke 101 bis 120,"109 - Hör, hör, hör....pdf","files/Werke - außer Psalmen/Werke 101 bis 120/109 - Hör, hör, hör....pdf",pdf,82204,0.08,109
Werke,Werke 101 bis 120,101 - Das Lied vom vollen Mund.pdf,files/Werke - außer Psalmen/Werke 101 bis 120/101 - Das Lied vom vollen Mund.pdf,pdf,124496,0.12,101
Werke,Werke 101 bis 120,108 - Es lagen im Felde... - Seiten 1 und 2.pdf,files/Werke - außer Psalmen/Werke 101 bis 120/108 - Es lagen im Felde... - Seiten 1 und 2.pdf,pdf,146950,0.14,108
Werke,Werke 101 bis 120,"102 - Hört, wen Jesus glücklich macht.pdf","files/Werke - außer Psalmen/Werke 101 bis 120/102 - Hört, wen Jesus glücklich macht.pdf",pdf,108835,0.1,102
Werke,Werke 101 bis 120,104 - Zur stillen Nacht.pdf,files/Werke - außer Psalmen/Werke 101 bis 120/104 - Zur stillen Nacht.pdf,pdf,96924,0.09,104
Werke,Werke 101 bis 120,105 - Irische Segenswünsche.pdf,files/Werke - außer Psalmen/Werke 101 bis 120/105 - Irische Segenswünsche.pdf,pdf,50842,0.05,105
Werke,Werke 101 bis 120,115 - Nun werde hell.pdf,files/Werke - außer Psalmen/Werke 101 bis 120/115 - Nun werde hell.pdf,pdf,73545,0.07,115
Werke,Werke 101 bis 120,111 - Läiber Brouder...pdf,files/Werke - außer Psalmen/Werke 101 bis 120/111 - Läiber Brouder...pdf,pdf,71320,0.07,111
Werke,Werke 101 bis 120,114 - Adventslied - Die Blumen sind....pdf,files/Werke - außer Psalmen/Werke 101 bis 120/114 - Adventslied - Die Blumen sind....pdf,pdf,92682,0.09,114
Werke,Werke 101 bis 120,"118 - O heilges Kind, wir grüßen dich.pdf","files/Werke - außer Psalmen/Werke 101 bis 120/118 - O heilges Kind, wir grüßen dich.pdf",pdf,73302,0.07,118
Werke,Werke 101 bis 120,117 - Nürnberger Krippenlied.pdf,files/Werke - außer Psalmen/Werke 101 bis 120/117 - Nürnberger Krippenlied.pdf,pdf,69273,0.07,117
Werke,Werke 101 bis 120,113 Freut euch ihr lieben Christen.pdf,files/Werke - außer Psalmen/Werke 101 bis 120/113 Freut euch ihr lieben Christen.pdf,pdf,127620,0.12,113
Werke,Werke 101 bis 120,112 Öitz sen ma so weit.pdf,files/Werke - außer Psalmen/Werke 101 bis 120/112 Öitz sen ma so weit.pdf,pdf,67906,0.06,112
