Die Psalmen Emanuel Vogts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Reg. Nr.,Psalm Nr.,Verse,Titel,Besetzung,Datum,Handschrift,veröffentlicht,Bemerkung,
168,80,,Gott tröste uns wieder,Knabenchor,1986,x,,Dem Windsbacher Knabenchor und Karl Friedrich Beringer in herzlicher Verbundenheit gewidmet. 27.10.1986,
169,81,,Höre mein Volk…,Männerchor,1971,x,,,
170,84,,"Herr, ich habe lieb…",gem. Chor,,x,,,
171,84,,"Herr, ich habe lieb…",gem. Chor,1993,x,,,
172,90,,Tausend Jahre sind von dir…,gem. Chor,1972/1984,x,,,
173,91,"1, 4, 5, 9, 11, 15, 15a",Der Herr ist deine Zuversicht,gem. Chor,1987,x,,,
174,92,1 - 9,"Herr, wie sind deine Werke…",Männerchor,1974,x,,,
175,97,,Der Herr ward König! (Zürcher Bibel),Männerchor,1973,x,,,
176,103,"1 - 4, 13, 19 - 22","Lobe den Herrn, meine Seele",Chor und Gemeinde,1989,x,,,
177,103,"4, 5, 8, 10, 11, 12, 13, 17, 18","Lobe den Herrn, meine Seele",gem. Chor,1972/1981,x,,Meiner lieben Frau Brigitte gewidmet,
178,103,,Er stillt meine Sehnsucht,Männerchor,1973,x,,,
179,103,"1 - 5, 8, 10 - 13, 17, 18","Lobe den Herrn, meine Seele",Männerchor,1973,x,,,
180,113,,Lobet alle den Herrn,Männerchor,1973/1996,x,,,
181,,,ohne Inhalt,,,x,,,
182,130,,"Herr, erhöre meine Stimme",gem. Chor,1992,x,,,
183,139,7 - 10,Wo soll ich hingehen,Männerchor,1973,x,,,
184,145,,Gnädig und barmherzig…,Männerchor,1971/1991,x,,,
185,146,,Ich will den Herren loben,gem. Chor,1964/1996,x,,,
186,146,,Ich will den Herren loben,gem. Chor,1964,x,,,
187,24,,Machet die Tore weit…,"Orgel, Gemeinde",,x,,,
188,25,,Die Pfade des Herrn,"Einzelstimmen, Chor",1965,x,,,
189,31,,Bei mir ein starker Fels,Männerchor,1972,x,,,
190,119,10 - 17,Öffne mir die Augen,Männerchor,1974,x,,,
191,143,,Ich breite meine Hände…,Männerchor,1965,x,,,
192,138,,"Herr, von ganzem Herzen..",Männerchor,1973,x,,,
193,24,,Machet die Tore weit…,Männer,1965,x,,Bleistift-Manuskript,
194,25,Int. 6,Er leitet die Elenden,,1965,x,,Bleistift-Manuskript,
195,148,1 - 14,Lobet den Herren…,"Orgel, Chor, Gemeinde",1970,,Strube-Verlag,,
196,82,,Schafft dem Bedrückten Recht,Chor,1978,x,,Kanon,
197,25,I.,Die Pfade des Herrn…,,,,Eigenverlag 1975/1978,,
198,23,,Mein Leib und Seele…,Männer,,,Eigenverlag 1975/1978,,
199,51,,Schaff in mir Gott,Männer,1988,x,,,
200,84,,Herr ich habe lieb die Stätte..,Männer,1973,x,,,
101b,127,,Unsere Hilfe steht im Namen…,Knabenchor,1996,x,Original-Handschrift des Kantors,Dem Windsbacher Knabenchor und seinem Leiter Karl Friedrich Beringer zuj Chorjubiläum im Jahr 1996 gewidmet,
103a,130,,"Herr, erhöre meine Stimme",Männer,1971/1982,x,,,
107a,130,,Aus der Tiefe rufe ich…,,,,Verlag?,,
109a,136,,Danket dem Herren,gem. Chor,1996,x,,Original,
112a,139,,"Herr, du erforschest mich…",Knabenchor,1995,x,,,
115a,143,,Ich breite meine Hände…,,1965,x,,,
115b,143,,Ich breite meine Hände…,M#nner,1964,,Strube?,"""Windsbacher Psalmen""",
115c,143,,Ich breite meine Hände…,Knabenchor,,x,,"""Windsbacher Psalmen""",
116a,145,,Gnädig und barmherzig…,Klavier- und Chorsatz,1971/1990,x,,,
11a,22,1 - 12,"Mein Gott, mein Gott",,,,"Strube, Heft II",,
121a,148,,Lobet den Herren…,"Chor, Gemeinde",1970,,Spirit-Carbon-Kopie,,
123a,149,,"Halleluja, Halleluja…",Männer,1964,x,,,
123b,149,,"Halleluja, Halleluja…",gem. Chor,1964,x,,,
125a,,Jesaja 53,"Siehe, das ist Gottes Lamm..",Männer,1972/1993,x,Original-Handschrift des Kantors,"""Windsbacher Psalmen""",
16a,23,,"Der Herr, der Herr ist mein Hirte",gem. Chor,1977?,x,,,
184a,145,,Gnädig und barmherzig…,Klavier- und Chorsatz,1971/1990,x,,,
27a,24,7 - 10,Machet die Tore weit…,,1992,x,,Für Frau Großmann aus Bürglein,
30a,25,,Die Pfade des Herrn,Männer,1965,,,"""Windsbacher Psalmen""",
30b,25,,Die Pfade des Herrn…,Männer,1965,x,,"""Windsbacher Psalmen""",
33a,27,1 - 6,Harre des Herrn…,,1965,x,,"""Windsbacher Psalmen""",
37a,31,,Sei mir ein starker Fels…,,1972,x,,,
39a,33,,Freuet euch des Herrn ihr Gerechten,Knabenchor,1994,,,,
41a,34,,Freuet euch des Herrn..,Knabenchor,1994,,,,
54a,80,,Gott tröste uns wieder,Männer,1986,,,,
67a,92,,Das ist ein köstlich Ding..,Orgel,,x,,,
70a,95,,Kommt herzu…,M#nner,1973,x,,"""Windsbacher Psalmen""",
70b,95,,Kommt herzu…,Männer,1973,x,,"""Windsbacher Psalmen""",
72a,96,,Singet dem Herrn…,Orgel,1969,x,,,
84a,103,2,Lobet den Herrn..,,,x,,,
84b,103,"1 - 4, 13, 19 - 22",Lobet den Herrn…,gem. Chor und Gemenide,,x,,,
84c,103,"1 - 4, 13, 19 - 22",Lobet den Herrn…,"Chor (einst.), Orgel",1989,x,,,
84d,103,"1 - 4, 13, 19 - 22",Lobet den Herrn…,Männer- o. Frauenchor,1989,x,,,
84e,103,,Lobet den Herrn…,,1972/1981,x,,Meiner lieben Frau Brigitte gewidmet,
84f,103,,Dem Herrn sei Lob…,Chor für drei gleiche Stimmen,2000,x,,Text von Helmut Lamparter,
89a,113,1 - 9,Lobet den Herrn,973,,x,,,
98a,126,,Die Erlösten des Herrn…,Männer?,1972,,Strube,,
98b,126,,Die Erlösten des Herrn…,Männer?,1972,x,,,
,71,,Laß mich nicht zuschanden werden,gem. Chor,1970,x,,Original,
