Werkinformationen,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Besetzung,Unnamed: 17,Beteiligte,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Vertritt,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Werknummer,Titel,Registrierstatus,Freie Vereinbarung,Verbundene Schutzfrist,ISWC,ISRC,Verlagswerknummern,Erstmals geladen,Letzte Aktualisierung,Sprache,Gattung,Dauer,AR streitig,VR streitig,Weitere Titel,Besetzung,Interpretinnen / Interpreten,Name,IP-Name-Nr.,Rolle,Reihenfolge Verlagsrollen,Urheber/-in-Verlagsbeziehung,AR-Anteil Detailansicht,VR-Anteil Detailansicht,AR-Anteil (kumuliert),VR-Anteil (kumuliert),Gesellschaft AR,Gesellschaft VR,AR streitig,VR streitig,Name,IP-Name-Nr.,Rolle,Schedule Number,Vereinbarungsnummer
977669-001,LENTO G-DUR,1,Nein,Nein,T8020972811,,,13.10.2002,25.05.2024,,,00:02:00,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,MERSEBURGER BERLIN VERLAG GMBH,20574120,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
977683-001,INTERMEZZO A-MOLL,1,Nein,Nein,T8020972571,,,13.10.2002,25.05.2024,,,00:02:00,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
977683-001,INTERMEZZO A-MOLL,1,Nein,Nein,T8020972571,,,13.10.2002,25.05.2024,,,00:02:00,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,MERSEBURGER BERLIN VERLAG GMBH,20574120,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
977685-001,VORSPIEL H-MOLL,1,Nein,Nein,T8020972537,,,13.10.2002,25.05.2024,,,00:02:00,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
977685-001,VORSPIEL H-MOLL,1,Nein,Nein,T8020972537,,,13.10.2002,25.05.2024,,,00:02:00,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,MERSEBURGER BERLIN VERLAG GMBH,20574120,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
1218027-003,GOTTES GEIST IN DIESER ZEIT,1,Nein,Nein,T8032453912,,,10.06.2013,09.12.2024,DEUTSCH,LIED,00:00:45,-,-,,"TASTENINSTRUMENT (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"PETZOLD, JOHANNES",24174508,Komponist/-in,,E2,37.12,25,37.12,25,GEMA,GEMA,-,-,-,-,-,-,-
1218027-003,GOTTES GEIST IN DIESER ZEIT,1,Nein,Nein,T8032453912,,,10.06.2013,09.12.2024,DEUTSCH,LIED,00:00:45,-,-,,"TASTENINSTRUMENT (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"VOGT, EMANUEL",266446936,Bearbeiter/-in,,,8.33,0,8.33,0,GEMA,,-,-,-,-,-,-,-
1218027-003,GOTTES GEIST IN DIESER ZEIT,1,Nein,Nein,T8032453912,,,10.06.2013,09.12.2024,DEUTSCH,LIED,00:00:45,-,-,,"TASTENINSTRUMENT (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"ANGER, ERHARD",1028749,Textdichter/-in,,E1,24,25,24,25,GEMA,GEMA,-,-,-,-,-,-,-
1218027-003,GOTTES GEIST IN DIESER ZEIT,1,Nein,Nein,T8032453912,,,10.06.2013,09.12.2024,DEUTSCH,LIED,00:00:45,-,-,,"TASTENINSTRUMENT (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,DEUTSCHER VERLAG FUER MUSIK LEIPZIG GMBH,763776103,Originalverlag,E1,,12,25,30.55,50,GEMA,GEMA,-,-,"ANGER, ERHARD",1028749,Textdichter/-in,-,-
1218027-003,GOTTES GEIST IN DIESER ZEIT,1,Nein,Nein,T8032453912,,,10.06.2013,09.12.2024,DEUTSCH,LIED,00:00:45,-,-,,"TASTENINSTRUMENT (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,DEUTSCHER VERLAG FUER MUSIK LEIPZIG GMBH,763776103,Originalverlag,E2,,18.55,25,30.55,50,GEMA,GEMA,-,-,"PETZOLD, JOHANNES",24174508,Komponist/-in,-,-
1474492-004,"O HERR, NIMM UNSRE SCHULD GL 168",1,Nein,Nein,T8024330857,,,11.01.2003,23.08.2024,,,00:00:50,-,-,O GUD TAG BORT DEN SKULD | THEMA UND VARIANTEN(8) | KLEINES GEISTLICHES KONZERT,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"LOTZ, HANS-GEORG",38856055,Komponist/-in,,E1,37.12,30,37.12,30,GEMA,GEMA,-,-,-,-,-,-,-
1474492-004,"O HERR, NIMM UNSRE SCHULD GL 168",1,Nein,Nein,T8024330857,,,11.01.2003,23.08.2024,,,00:00:50,-,-,O GUD TAG BORT DEN SKULD | THEMA UND VARIANTEN(8) | KLEINES GEISTLICHES KONZERT,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"VOGT, EMANUEL",266446936,Bearbeiter/-in,,,8.33,0,8.33,0,GEMA,,-,-,-,-,-,-,-
1474492-004,"O HERR, NIMM UNSRE SCHULD GL 168",1,Nein,Nein,T8024330857,,,11.01.2003,23.08.2024,,,00:00:50,-,-,O GUD TAG BORT DEN SKULD | THEMA UND VARIANTEN(8) | KLEINES GEISTLICHES KONZERT,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"LOTZ, HANS-GEORG",38856055,Textdichter/-in,,E2,24,30,24,30,GEMA,GEMA,-,-,-,-,-,-,-
1474492-004,"O HERR, NIMM UNSRE SCHULD GL 168",1,Nein,Nein,T8024330857,,,11.01.2003,23.08.2024,,,00:00:50,-,-,O GUD TAG BORT DEN SKULD | THEMA UND VARIANTEN(8) | KLEINES GEISTLICHES KONZERT,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,SINGENDE GEMEINDE,58520478,Originalverlag,E1,,18.55,20,30.55,40,,,-,-,"LOTZ, HANS-GEORG",38856055,Komponist/-in,-,-
1474492-004,"O HERR, NIMM UNSRE SCHULD GL 168",1,Nein,Nein,T8024330857,,,11.01.2003,23.08.2024,,,00:00:50,-,-,O GUD TAG BORT DEN SKULD | THEMA UND VARIANTEN(8) | KLEINES GEISTLICHES KONZERT,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,SINGENDE GEMEINDE,58520478,Originalverlag,E2,,12,20,30.55,40,,,-,-,"LOTZ, HANS-GEORG",38856055,Textdichter/-in,-,-
1563478-001,WENN MEIN STUENDLEIN VORHANDEN IST,1,Nein,Nein,T8001575801,,,14.10.2002,25.05.2024,,CHORALVORSPIEL,,-,-,,,,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
1563478-001,WENN MEIN STUENDLEIN VORHANDEN IST,1,Nein,Nein,T8001575801,,,14.10.2002,25.05.2024,,CHORALVORSPIEL,,-,-,,,,EDITION THOMI-BERG,1150061610,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
1563512-001,"CHRISTE, DU BIST DER HELLE TAG",1,Nein,Nein,T8001574364,,,14.10.2002,25.05.2024,,CHORALVORSPIEL,,-,-,,,,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
1563512-001,"CHRISTE, DU BIST DER HELLE TAG",1,Nein,Nein,T8001574364,,,14.10.2002,25.05.2024,,CHORALVORSPIEL,,-,-,,,,EDITION THOMI-BERG,1150061610,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
2071563-002,"HORCH, WIE DIE SCHAR DER ENGEL SINGT",1,Nein,Nein,T8002794448,,,15.10.2002,11.08.2025,,,00:02:00,-,-,,,,DP,39657154,Komponist/-in,,,25.6,0,25.6,0,DP,DP,-,-,-,-,-,-,-
2071563-002,"HORCH, WIE DIE SCHAR DER ENGEL SINGT",1,Nein,Nein,T8002794448,,,15.10.2002,11.08.2025,,,00:02:00,-,-,,,,"VOGT, EMANUEL",266446936,Bearbeiter/-in,,E2,17.07,60,17.07,60,GEMA,GEMA,-,-,-,-,-,-,-
2071563-002,"HORCH, WIE DIE SCHAR DER ENGEL SINGT",1,Nein,Nein,T8002794448,,,15.10.2002,11.08.2025,,,00:02:00,-,-,,,,DP,39657154,Textdichter/-in,,E1,24,0,24,0,DP,DP,-,-,-,-,-,-,-
2071563-002,"HORCH, WIE DIE SCHAR DER ENGEL SINGT",1,Nein,Nein,T8002794448,,,15.10.2002,11.08.2025,,,00:02:00,-,-,,,,SAALECK-VERLAG INH PROF KILIAN MORITZ,1300200940,Originalverlag,E1,,12,20,33.33,40,GEMA,GEMA,-,-,DP,39657154,Textdichter/-in,-,-
2071563-002,"HORCH, WIE DIE SCHAR DER ENGEL SINGT",1,Nein,Nein,T8002794448,,,15.10.2002,11.08.2025,,,00:02:00,-,-,,,,SAALECK-VERLAG INH PROF KILIAN MORITZ,1300200940,Originalverlag,E2,,21.33,20,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Bearbeiter/-in,-,-
2071564-002,EINE GROSSE FREUD VERKUEND ICH EUCH,1,Nein,Nein,T8002794415,,,15.10.2002,11.08.2025,DEUTSCH,CHORLIED,00:01:50,-,-,EINE GROSSE FREUD VERKUEND ICH EUCH UND ALLEN VOLK,"GEMISCHTER CHOR (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 4)",,DP,39657154,Komponist/-in,,,25.6,0,25.6,0,DP,DP,-,-,-,-,-,-,-
2071564-002,EINE GROSSE FREUD VERKUEND ICH EUCH,1,Nein,Nein,T8002794415,,,15.10.2002,11.08.2025,DEUTSCH,CHORLIED,00:01:50,-,-,EINE GROSSE FREUD VERKUEND ICH EUCH UND ALLEN VOLK,"GEMISCHTER CHOR (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 4)",,"VOGT, EMANUEL",266446936,Bearbeiter/-in,,E2,17.07,60,17.07,60,GEMA,GEMA,-,-,-,-,-,-,-
2071564-002,EINE GROSSE FREUD VERKUEND ICH EUCH,1,Nein,Nein,T8002794415,,,15.10.2002,11.08.2025,DEUTSCH,CHORLIED,00:01:50,-,-,EINE GROSSE FREUD VERKUEND ICH EUCH UND ALLEN VOLK,"GEMISCHTER CHOR (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 4)",,DP,39657154,Textdichter/-in,,E1,24,0,24,0,DP,DP,-,-,-,-,-,-,-
2071564-002,EINE GROSSE FREUD VERKUEND ICH EUCH,1,Nein,Nein,T8002794415,,,15.10.2002,11.08.2025,DEUTSCH,CHORLIED,00:01:50,-,-,EINE GROSSE FREUD VERKUEND ICH EUCH UND ALLEN VOLK,"GEMISCHTER CHOR (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 4)",,SAALECK-VERLAG INH PROF KILIAN MORITZ,1300200940,Originalverlag,E1,,12,20,33.33,40,GEMA,GEMA,-,-,DP,39657154,Textdichter/-in,-,-
2071564-002,EINE GROSSE FREUD VERKUEND ICH EUCH,1,Nein,Nein,T8002794415,,,15.10.2002,11.08.2025,DEUTSCH,CHORLIED,00:01:50,-,-,EINE GROSSE FREUD VERKUEND ICH EUCH UND ALLEN VOLK,"GEMISCHTER CHOR (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 4)",,SAALECK-VERLAG INH PROF KILIAN MORITZ,1300200940,Originalverlag,E2,,21.33,20,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Bearbeiter/-in,-,-
2245730-001,MESSE,1,Nein,Nein,T8007901341,,,15.10.2002,25.05.2024,,,00:15:00,-,-,BENEDICTUS | AGNUS DEI | CREDO | GLORIA | SANCTUS | KYRIE,,,"VOGT, EMANUEL",266446936,Komponist/-in,,E2,42.67,60,42.67,60,GEMA,GEMA,-,-,-,-,-,-,-
2245730-001,MESSE,1,Nein,Nein,T8007901341,,,15.10.2002,25.05.2024,,,00:15:00,-,-,BENEDICTUS | AGNUS DEI | CREDO | GLORIA | SANCTUS | KYRIE,,,DP,39657154,Textdichter/-in,,E1,24,0,24,0,DP,DP,-,-,-,-,-,-,-
2245730-001,MESSE,1,Nein,Nein,T8007901341,,,15.10.2002,25.05.2024,,,00:15:00,-,-,BENEDICTUS | AGNUS DEI | CREDO | GLORIA | SANCTUS | KYRIE,,,ARENDS PAUL C R VERLAG OHG,473089436,Originalverlag,E1,,12,20,33.33,40,GEMA,GEMA,-,-,DP,39657154,Textdichter/-in,-,-
2245730-001,MESSE,1,Nein,Nein,T8007901341,,,15.10.2002,25.05.2024,,,00:15:00,-,-,BENEDICTUS | AGNUS DEI | CREDO | GLORIA | SANCTUS | KYRIE,,,ARENDS PAUL C R VERLAG OHG,473089436,Originalverlag,E2,,21.33,20,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
2816644-001,NEUENDETTELSAUER INTRADE,1,Nein,Nein,T8010811334,,,15.10.2002,25.05.2024,,,00:01:40,-,-,,,,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
2816644-001,NEUENDETTELSAUER INTRADE,1,Nein,Nein,T8010811334,,,15.10.2002,25.05.2024,,,00:01:40,-,-,,,,BUND CHRISTLICHER POSAUNENCHOERE DEUTSCHLANDS,4562512,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
2944286-001,ALS DIE WELT VERLOREN,1,Nein,Nein,T8014837061,,,15.10.2002,09.09.2025,,CHORALVORSPIEL,00:00:45,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
2944286-001,ALS DIE WELT VERLOREN,1,Nein,Nein,T8014837061,,,15.10.2002,09.09.2025,,CHORALVORSPIEL,00:00:45,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,BREITKOPF & HAERTEL KG,852149827,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
2944289-001,DAS IST KOESTLICH,1,Nein,Nein,T8014836988,,,15.10.2002,09.09.2025,,CHORALVORSPIEL,00:00:55,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
2944289-001,DAS IST KOESTLICH,1,Nein,Nein,T8014836988,,,15.10.2002,09.09.2025,,CHORALVORSPIEL,00:00:55,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,BREITKOPF & HAERTEL KG,852149827,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
2944291-001,DEIN KOENIG KOMMT,1,Nein,Nein,T8014836808,,,15.10.2002,09.09.2025,,CHORALVORSPIEL,00:01:20,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
2944291-001,DEIN KOENIG KOMMT,1,Nein,Nein,T8014836808,,,15.10.2002,09.09.2025,,CHORALVORSPIEL,00:01:20,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,BREITKOPF & HAERTEL KG,852149827,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
2944293-001,"ER IST ERSTANDEN, HALLELUJA",1,Nein,Nein,T8014836784,,,15.10.2002,09.09.2025,,CHORALVORSPIEL,00:01:00,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
2944293-001,"ER IST ERSTANDEN, HALLELUJA",1,Nein,Nein,T8014836784,,,15.10.2002,09.09.2025,,CHORALVORSPIEL,00:01:00,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,BREITKOPF & HAERTEL KG,852149827,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
2944295-001,GOTT SEI DANK DURCH ALLE WELT,1,Nein,Nein,T8014836524,,,15.10.2002,09.09.2025,,CHORALVORSPIEL,00:00:35,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
2944295-001,GOTT SEI DANK DURCH ALLE WELT,1,Nein,Nein,T8014836524,,,15.10.2002,09.09.2025,,CHORALVORSPIEL,00:00:35,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,BREITKOPF & HAERTEL KG,852149827,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
3259498-001,VALET WILL ICH DIR GEBEN EG 523,1,Nein,Nein,T8007533258,,,15.10.2002,09.09.2025,,CHORALVORSPIEL,00:00:55,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
3259498-001,VALET WILL ICH DIR GEBEN EG 523,1,Nein,Nein,T8007533258,,,15.10.2002,09.09.2025,,CHORALVORSPIEL,00:00:55,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,BREITKOPF & HAERTEL KG,852149827,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
3259500-001,WENN MEIN STUENDLEIN VORHANDEN IST EG 522,1,Nein,Nein,T8007533203,,,15.10.2002,09.09.2025,,CHORALVORSPIEL,00:01:30,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
3259500-001,WENN MEIN STUENDLEIN VORHANDEN IST EG 522,1,Nein,Nein,T8007533203,,,15.10.2002,09.09.2025,,CHORALVORSPIEL,00:01:30,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,BREITKOPF & HAERTEL KG,852149827,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
3259501-001,WIR PFLUEGEN UND WIR STREUEN EG 508,1,Nein,Nein,T8007533178,,,15.10.2002,09.09.2025,,CHORALVORSPIEL,00:00:55,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
3259501-001,WIR PFLUEGEN UND WIR STREUEN EG 508,1,Nein,Nein,T8007533178,,,15.10.2002,09.09.2025,,CHORALVORSPIEL,00:00:55,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,BREITKOPF & HAERTEL KG,852149827,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
3259502-001,"HIMMEL, ERDE, LUFT UND MEER EG 504",1,Nein,Nein,T8007533087,,,15.10.2002,09.09.2025,,CHORALVORSPIEL,00:01:10,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
3259502-001,"HIMMEL, ERDE, LUFT UND MEER EG 504",1,Nein,Nein,T8007533087,,,15.10.2002,09.09.2025,,CHORALVORSPIEL,00:01:10,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,BREITKOPF & HAERTEL KG,852149827,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
3259504-001,DU HOECHSTES LICHT EG 441,1,Nein,Nein,T8007533043,,,15.10.2002,09.09.2025,,CHORALVORSPIEL,00:00:45,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
